pickupLatitude,pickupLongitude,No of orders
12.96469975° N,77.71600342° E,14
12.96479988° N,77.71569824° E,92
12.96510029° N,77.71820068° E,147
12.96549988° N,77.70189667° E,156
12.96599960° N,77.63800049° E,14
12.96609974° N,77.71399689° E,9
12.96640015° N,77.71410370° E,1
12.96679974° N,77.60240173° E,1
12.96700001° N,77.63710022° E,3
12.96710014° N,79.15350342° E,34
12.96730042° N,77.60910034° E,3
12.96730042° N,77.71389771° E,1
12.96739960° N,77.54380035° E,10
12.96749973° N,77.50309753° E,8
12.96770000° N,77.50209808° E,1
12.96780014° N,77.65309906° E,4
12.96790028° N,77.73410034° E,1
12.96800041° N,77.60729980° E,1
12.96809959° N,77.53600311° E,354
12.96829987° N,77.64820099° E,1
12.96829987° N,77.65029907° E,2
12.96850014° N,77.74960327° E,1
12.96899986° N,77.64810181° E,22
12.96940041° N,77.68299866° E,5
12.96959972° N,77.75260162° E,8
12.96969986° N,77.53649902° E,18
12.96980000° N,77.74970245° E,21
12.96980000° N,77.62850189° E,35
12.96990013° N,77.64730072° E,8
12.97010040° N,77.64019775° E,1
12.97010040° N,77.68219757° E,20
12.97010040° N,77.68219757° E,42
12.97010040° N,77.61009979° E,2
12.97049999° N,77.64730072° E,42
12.97140026° N,77.65840149° E,100
12.97140026° N,77.64759827° E,1
12.97150040° N,77.65219879° E,24
12.97150040° N,77.63580322° E,2
12.97159958° N,77.64710236° E,1
12.97189999° N,77.65499878° E,30
12.97200012° N,77.68109894° E,41
12.97210026° N,77.50849915° E,10
12.97210026° N,77.50800323° E,39
12.97229958° N,77.50789642° E,5
12.97329998° N,77.60759735° E,23
12.97340012° N,77.55169678° E,6
12.97369957° N,77.60739899° E,1
12.97399998° N,77.67880249° E,1
12.97430038° N,77.60690308° E,1
12.97430038° N,77.51920319° E,212
12.97449970° N,77.67870331° E,20
12.97459984° N,77.67859650° E,80
12.97469997° N,77.60659790° E,1
12.97509956° N,77.57039642° E,38
12.97529984° N,77.67340088° E,10
12.97560024° N,77.50949860° E,266
12.97560024° N,77.60299683° E,2
12.97630024° N,77.75109863° E,2
12.97739983° N,77.72489929° E,6
12.97749996° N,77.69290161° E,234
12.97770023° N,77.72499847° E,232
12.97789955° N,77.63610077° E,4
12.97809982° N,77.63829803° E,115
12.97819996° N,77.63780212° E,71
12.97819996° N,77.63500214° E,2
12.97859955° N,77.64350128° E,1
12.97879982° N,77.65799713° E,5
12.97879982° N,77.53900146° E,31
12.97889996° N,77.67839813° E,"2,371"
12.97920036° N,77.64320374° E,16
12.97970009° N,77.57510376° E,4
12.98029995° N,77.64640045° E,4
12.98069954° N,77.54319763° E,10
12.98099995° N,77.68000031° E,2
12.98099995° N,77.67990112° E,1
12.98110008° N,77.63670349° E,4
12.98139954° N,77.48529816° E,4
12.98139954° N,77.60859680° E,23
12.98149967° N,77.63690186° E,5
12.98180008° N,77.75789642° E,19
12.98190022° N,77.69670105° E,54
12.98239994° N,77.47940063° E,2
12.98260021° N,77.55690002° E,1
12.98279953° N,77.76300049° E,9
12.98289967° N,77.60669708° E,152
12.98369980° N,77.76650238° E,4
12.98429966° N,77.67659760° E,17
12.98429966° N,77.60150146° E,1
12.98449993° N,77.48629761° E,1
12.98449993° N,77.67639923° E,5
12.98460007° N,77.74919891° E,1
12.98490047° N,77.55349731° E,18
12.98530006° N,77.67330170° E,134
12.98530006° N,77.67310333° E,53
12.98550034° N,77.55410004° E,8
12.98600006° N,77.59510040° E,2
12.98610020° N,77.66850281° E,38
12.98630047° N,77.54149628° E,101
12.98630047° N,77.54149628° E,1
12.98639965° N,77.55570221° E,25
12.98659992° N,77.53720093° E,2
12.98670006° N,77.57929993° E,22
12.98670006° N,77.73670197° E,93
12.98680019° N,77.57959747° E,1
12.98700047° N,77.53720093° E,2
12.98709965° N,77.73650360° E,303
12.98709965° N,77.59510040° E,29
12.98750019° N,77.55599976° E,3
12.98789978° N,77.56130219° E,908
12.98799992° N,77.47429657° E,5
12.98830032° N,77.59390259° E,5
12.98869991° N,77.53749847° E,26
12.98919964° N,77.55010223° E,10
12.98929977° N,77.50039673° E,1
12.98939991° N,77.71189880° E,6
12.98960018° N,77.57209778° E,128
12.98960018° N,77.57209778° E,3
12.99069977° N,77.61350250° E,2
12.99090004° N,77.70649719° E,6
12.99139977° N,77.56649780° E,141
12.99160004° N,77.72029877° E,137
12.99170017° N,77.59429932° E,3
12.99180031° N,77.57119751° E,4
12.99180031° N,77.53769684° E,153
12.99180031° N,77.57119751° E,37
